As,Qz,S-I,S-II,Grade
13.2,4.5,9.75,8.62,Pass
10.57,1,3.37,3.93,Fail
10.78,2.4,6.56,0.93,Fail
7.94,2.6,5.06,2.81,Fail
10.46,0.8,4.5,2.25,Fail
12.47,5.9,10.31,5.25,Pass
9.94,2.29,6.75,2.43,Fail
13.42,4.59,7.31,2.62,Pass
14.46,7.6,11.62,11.25,Pass
13.27,6.1,12,7.31,Pass
6.08,3,3.37,4.87,Fail
13.77,3.6,8.06,4.68,Pass
14.12,4.9,7.87,4.31,Pass
12.02,2.2,4.87,1.87,Fail
9.45,2.8,4.5,2.06,Fail
12.26,5.3,8.62,5.43,Pass
13.59,3.3,3.75,4.12,Fail
12.27,4.4,10.87,6.56,Pass
11.86,3.5,7.68,4.31,Fail
14.27,7,10.5,9.56,Pass
10.78,3.3,6,0.93,Fail
12.45,4.4,4.31,4.12,Pass
9.18,3.6,3.37,1.5,Fail
14.87,5.7,10.87,8.62,Pass
11.14,2.8,6.75,1.12,Fail
11.94,3.9,5.25,2.43,Fail
10.45,2,6.18,3,Fail
11.8,4.9,2.25,2.43,Fail
14.06,7.2,11.06,11.25,Pass
12.39,4.09,1.5,1.12,Fail
8.36,2.9,4.31,4.87,Fail
10.15,4.3,3.37,1.5,Fail
12.12,4.5,7.12,5.62,Pass
8.03,4.09,7.12,5.06,Fail
12.05,5.09,7.68,5.43,Pass
10.76,3.2,6.37,5.43,Pass
11.66,5.9,8.81,5.62,Pass
12.45,3.2,5.43,3.37,Fail
12,4.2,1.12,1.12,Fail
9.87,2,1.5,2.81,Fail
5.29,3.7,0.37,1.12,Fail
12.83,3.6,3.37,3.75,Fail
10.41,2.29,4.87,3.75,Fail
12.97,5.8,4.31,2.43,Fail
9.61,3.2,1.87,0.37,Fail
11.47,1.2,3.56,1.5,Fail
13.97,9.19,11.81,8.25,Pass
13.58,5.3,10.12,6.93,Pass
10.89,4.9,2.25,2.25,Fail
8.86,4.09,5.43,4.31,Pass
11.08,4.8,5.43,3.75,Pass
13.01,8.19,9.75,8.81,Pass
12.45,6,6.37,7.68,Pass
11.71,4.7,4.31,4.12,Fail
13.75,6.4,9,5.62,Pass
12.04,3.1,5.43,3.75,Pass
10.89,7,6.37,4.68,Pass
8.94,5,4.87,1.87,Fail
13.18,3.7,5.25,4.5,Pass
11.69,6.4,8.06,10.31,Pass
11.46,5.2,5.62,6.93,Pass
7.59,3.8,3.75,3.37,Fail
6.94,4.09,3.09,1.31,Fail
11.7,2.7,2.62,2.81,Fail
9.37,3.5,2.43,1.87,Fail
11.45,4.59,7.31,2.25,Fail
10.09,3.6,3.75,3.37,Fail
12.23,2.2,1.87,2.06,Fail
13.14,6,5.06,5.06,Pass
