As,Qz,S-I,S-II,Grade
9.78,5.06,7.87,6,Fail
9.05,5.16,6.18,6.75,Pass
8.27,7.21,5.81,8.81,Pass
10.76,6.96,4.12,6.93,Pass
10.17,5.18,4.87,4.5,Fail
2.82,4.95,3.56,0.75,Fail
12.7,5.45,6.18,6.18,Pass
8.48,4.38,4.87,3.37,Fail
14.21,6.77,8.43,7.68,Pass
10.69,3.4,4.87,2.62,Fail
10.48,4.46,2.06,2.25,Fail
10.53,3.35,3.56,1.5,Fail
13.33,6.74,5.81,6.56,Pass
10.16,4.97,3.18,3,Fail
10.86,5.88,6.37,6.37,Pass
4.24,4.38,2.81,3.18,Fail
9.71,6.56,6,7.12,Fail
10.58,7.01,6.18,4.31,Pass
14.29,7.75,9.37,7.5,Pass
10.74,3.82,2.81,2.06,Fail
4.84,4.14,2.62,0.75,Fail
13.47,6.74,6.37,5.06,Pass
12.9,6.32,8.43,5.06,Pass
12.51,6.01,5.43,6.56,Pass
12.68,7.42,9,12.18,Pass
14.36,7.95,9.18,9.75,Pass
11.64,6.94,6.93,6.18,Pass
11.7,5.83,6.75,10.12,Pass
13.57,7.82,5.62,6.37,Pass
10.87,4.11,2.81,3,Fail
13.73,4.7,4.87,4.5,Fail
13.73,7.5,6.75,9.18,Pass
10.05,7.02,6.93,6.93,Pass
13.55,6.39,6.37,8.62,Pass
7.28,4.93,3,3.18,Fail
12.01,7.02,3.37,6.18,Pass
10.44,6.37,5.62,3.56,Fail
12.94,6.65,6,12.18,Pass
10.04,4.63,4.12,3.56,Fail
5.41,4.25,3,2.81,Fail
13.9,5.88,5.43,4.87,Pass
