As,Qz,S-I,S-II,Grade
9.23,3,4.87,5.25,Fail
10.64,1.7,6.18,4.68,Fail
14.31,9.8,13.87,12.37,Pass
11.39,3.8,7.5,7.5,Pass
13.88,7.6,8.62,7.87,Pass
10.64,3.9,5.43,3.56,Fail
12.12,6.6,5.25,6.93,Pass
12.38,5.6,6.93,8.43,Pass
12.79,5.2,7.68,7.5,Pass
11.2,2.6,5.43,5.06,Fail
11.68,6.2,7.87,7.68,Pass
13.02,5.7,6.18,7.68,Pass
9.89,1.7,4.87,4.12,Fail
11.97,4.09,4.31,5.62,Fail
13.02,6.5,8.43,8.43,Pass
11.66,5.8,5.25,4.5,Fail
9.13,0.2,4.12,1.5,Fail
10.61,4.4,6.93,4.68,Fail
11.29,6.8,8.25,8.43,Pass
11.42,6.3,6.56,2.62,Fail
11.41,7.2,8.62,8.06,Pass
10.94,3.2,6.18,5.62,Fail
10.85,3.5,5.25,3.56,Fail
13.75,7.8,7.31,8.62,Pass
13.19,6.5,7.12,6,Pass
9.2,5.7,5.62,6.56,Fail
12.71,7.2,9.75,8.43,Pass
11.1,1.8,3.93,3.56,Fail
9.05,3.7,7.12,5.06,Fail
10.62,1,6,6.18,Fail
13.1,7.6,8.25,8.06,Pass
11.52,6.5,5.43,5.62,Fail
13.8,8.3,8.62,9,Pass
12.71,6.8,5.62,5.06,Pass
12.6,8.4,11.43,9.75,Pass
12.51,4.3,3.18,3,Fail
11.97,4.5,4.12,3.75,Fail
11.8,6.4,5.43,6.37,Pass
12.93,8.4,5.25,5.62,Pass
