As,Qz,S-I,S-II,Grade
8.88,4.95,3.56,1.5,Fail
12.59,7.6,5.53,6.75,Pass
11.83,6.4,6.93,3.84,Pass
10.94,5.4,4.87,4.33,Fail
9.55,6.5,3.93,2.43,Pass
10.23,7.9,5.62,8.1,Pass
11.76,6.5,6.28,5.62,Pass
6.6,1.5,3.93,2.06,Fail
13.14,4.8,4.12,4.61,Fail
9.47,5,4.21,3.18,Fail
2.04,1.4,3,0.56,Fail
14.01,8.3,5.62,5.62,Pass
13.23,6.7,4.87,9.75,Pass
11.39,2.2,3.28,2.34,Fail
12.41,6.9,4.5,2.81,Fail
12.01,5.4,4.03,1.4,Fail
11.23,4.7,4.31,3.28,Fail
11.55,5.5,2.71,1.78,Fail
12.32,8,7.03,8.15,Pass
0,3.45,2.62,1.5,Fail
12.99,7.3,2.15,3.28,Fail
7.13,8.4,5.06,3.46,Pass
4.59,5.8,4.68,1.5,Fail
10.78,4,2.9,1.68,Fail
8.54,5.9,5.9,3.18,Fail
8.86,5.5,3,3.37,Fail
13.46,6.3,4.87,4.59,Pass
10.36,7,5.25,3,Pass
12.22,6.1,4.5,3.93,Pass
10.13,4.7,4.12,5.06,Fail
9.72,3.55,4.5,2.06,Fail
12.66,7.7,6.18,4.12,Pass
12.68,5.05,5.43,6.75,Pass
