As,Qz,S-I,S-II,Grade
13.2,6.63,10.68,8.62,Pass
12.98,10,8.25,10.5,Pass
12.73,5.3,5.62,4.68,Pass
9.71,5.26,4.68,2.15,Fail
13.85,7.9,5.25,9,Pass
7.01,4.93,5.25,3.75,Fail
8.05,5.66,4.5,2.43,Fail
10.02,4.8,3.37,2.06,Fail
7.45,5.9,3.37,4.31,Fail
11.07,5.6,3.75,5.62,Pass
8.85,8.46,8.34,7.31,Pass
13.84,8.46,12,9.18,Pass
14.58,10,13.21,12,Pass
11.26,5.86,4.78,4.12,Pass
10.49,6.4,7.12,7.31,Pass
10.28,5.36,4.4,2.25,Fail
13.97,6.06,5.53,4.31,Pass
14.55,9.6,8.53,8.81,Pass
8.81,6.4,4.68,3,Fail
10.38,5.09,3.18,0,Fail
11.06,5.13,8.43,4.31,Pass
11.14,5.9,6.93,2.71,Pass
7.33,4.8,1.59,2.71,Fail
10.62,4.8,5.34,2.43,Fail
10.16,4.93,5.9,1.68,Fail
4,1.2,0.93,0.46,Fail
12.22,6.86,7.68,5.62,Pass
11.33,8.6,7.12,3.56,Pass
